EntityID,volume,Custom cell groups,model
2505318700508100001,6791.41259765625,1,Chenxi
2505318700509100001,3518.54345703125,1,Chenxi
2505318700509100002,4447.75390625,1,Chenxi
2505318700514100001,3944.55126953125,7,Chenxi
2505318700518100002,6590.80810546875,10,Chenxi
2505318700518100003,10348.71484375,10,Chenxi
2505318700518100004,3642.33984375,10,Chenxi
2505318700518100005,3750.97900390625,10,Chenxi
2505318700518100006,4591.23681640625,10,Chenxi
2505318700518100007,3800.298828125,10,Chenxi
2505318700518100008,7021.9580078125,10,Chenxi
2505318700518100009,12404.453125,10,Chenxi
2505318700518100010,6199.40185546875,10,Chenxi
2505318700518100011,1813.7314453125,10,Chenxi
2505318700519100001,5885.99609375,10,Chenxi
2505318700519100002,4954.7265625,10,Chenxi
2505318700519100005,37616.80078125,10,Chenxi
2505318700519100006,4231.99072265625,10,Chenxi
2505318700519100007,3479.5439453125,10,Chenxi
2505318700519100008,8640.0126953125,10,Chenxi
2505318700519100009,2741.33740234375,10,Chenxi
2505318700519100010,4442.7109375,10,Chenxi
2505318700519100011,4339.7421875,10,Chenxi
2505318700519100012,5957.20849609375,10,Chenxi
2505318700519100013,8915.5556640625,10,Chenxi
2505318700519100014,3967.8935546875,10,Chenxi
2505318700519100015,5328.216796875,10,Chenxi
2505318700519100016,3048.92236328125,10,Chenxi
2505318700519100017,4930.15625,10,Chenxi
2505318700519100018,4484.9619140625,10,Chenxi
2505318700519100019,7602.708984375,10,Chenxi
2505318700519100020,7424.89697265625,10,Chenxi
2505318700519100021,7605.64599609375,10,Chenxi
2505318700519100022,4356.65478515625,10,Chenxi
2505318700520100002,2631.57080078125,10,Chenxi
2505318700520100004,2221.196533203125,10,Chenxi
2505318700520100005,7938.93701171875,10,Chenxi
2505318700520100006,2630.656494140625,10,Chenxi
2505318700520100007,3547.781982421875,10,Chenxi
2505318700523100001,5241.3984375,15,Chenxi
2505318700523100002,2173.775390625,15,Chenxi
2505318700523100003,2749.449462890625,15,Chenxi
2505318700523100004,5730.95068359375,15,Chenxi
2505318700523100005,4608.2060546875,15,Chenxi
2505318700523100006,4205.703125,15,Chenxi
2505318700523100007,3290.68505859375,15,Chenxi
2505318700523100008,3734.714599609375,15,Chenxi
2505318700523100009,3482.912109375,15,Chenxi
2505318700523100010,4236.89404296875,15,Chenxi
2505318700523100011,1783.6162109375,15,Chenxi
2505318700523100013,2746.62646484375,15,Chenxi
2505318700523100014,1921.2684326171875,15,Chenxi
2505318700523100015,2897.0234375,15,Chenxi
2505318700523100016,3271.07861328125,15,Chenxi
2505318700523100017,2406.4580078125,15,Chenxi
2505318700523100018,2139.95263671875,15,Chenxi
2505318700523100019,2739.469970703125,15,Chenxi
2505318700524100002,3362.93115234375,15,Chenxi
2505318700524100003,1924.3201904296875,15,Chenxi
2505318700524100004,3775.105224609375,15,Chenxi
2505318700524100005,3368.660888671875,15,Chenxi
2505318700524100007,3308.563720703125,15,Chenxi
2505318700536100001,6622.63623046875,1,Chenxi
2505318700536100002,6371.89453125,1,Chenxi
2505318700536100003,4835.2763671875,1,Chenxi
2505318700536100004,10347.65234375,1,Chenxi
2505318700536100005,6917.4267578125,1,Chenxi
2505318700536100006,5135.02001953125,1,Chenxi
2505318700536100007,5388.41650390625,1,Chenxi
2505318700536100008,2229.900390625,1,Chenxi
2505318700536100009,5853.92822265625,1,Chenxi
2505318700536100010,7939.935546875,1,Chenxi
2505318700536100011,7543.7119140625,1,Chenxi
2505318700536100012,4848.51416015625,1,Chenxi
2505318700536100013,5812.384765625,1,Chenxi
2505318700536100014,6645.27783203125,1,Chenxi
2505318700536100015,10373.150390625,1,Chenxi
2505318700536100016,6162.0791015625,1,Chenxi
2505318700536100017,12601.3515625,1,Chenxi
2505318700536100018,7545.40478515625,1,Chenxi
2505318700536100019,4231.30078125,1,Chenxi
2505318700536100021,4937.43017578125,1,Chenxi
2505318700536100022,3994.894287109375,1,Chenxi
2505318700536100023,3312.713623046875,1,Chenxi
2505318700536100024,6500.89013671875,1,Chenxi
2505318700536100025,4518.37451171875,1,Chenxi
2505318700536100026,3565.56689453125,1,Chenxi
2505318700537100001,11399.654296875,1,Chenxi
2505318700537100002,5066.0869140625,1,Chenxi
2505318700537100003,22585.822265625,1,Chenxi
2505318700537100004,13812.9794921875,1,Chenxi
2505318700537100005,39936.80078125,1,Chenxi
2505318700537100006,17191.541015625,1,Chenxi
2505318700537100008,7618.69140625,1,Chenxi
2505318700537100009,20191.71484375,1,Chenxi
2505318700537100010,13484.85546875,1,Chenxi
2505318700537100012,11817.2900390625,1,Chenxi
2505318700537100013,3181.786376953125,1,Chenxi
2505318700537100015,9695.4833984375,1,Chenxi
2505318700538100001,3981.771240234375,1,Chenxi
2505318700538100002,3837.70166015625,1,Chenxi
2505318700538100003,2245.42333984375,1,Chenxi
2505318700541100001,3873.126953125,7,Chenxi
2505318700541100003,8527.6083984375,7,Chenxi
2505318700541100004,8026.244140625,7,Chenxi
2505318700541100005,2298.560791015625,7,Chenxi
2505318700541100007,2610.67626953125,7,Chenxi
2505318700541100008,2445.3583984375,7,Chenxi
2505318700542100001,4197.25390625,7,Chenxi
2505318700542100002,3069.249755859375,7,Chenxi
2505318700542100003,2634.68212890625,7,Chenxi
2505318700542100004,6558.873046875,7,Chenxi
2505318700542100006,5802.7421875,7,Chenxi
2505318700542100007,2574.194091796875,7,Chenxi
2505318700542100008,3498.385009765625,7,Chenxi
2505318700542100009,5359.4072265625,7,Chenxi
2505318700542100010,2180.950927734375,7,Chenxi
2505318700542100011,4204.33056640625,7,Chenxi
2505318700542100012,1258.4937744140625,7,Chenxi
2505318700542100013,3255.499267578125,7,Chenxi
2505318700542100014,1339.80224609375,7,Chenxi
2505318700542100015,3341.084228515625,7,Chenxi
2505318700542100016,3236.381103515625,7,Chenxi
2505318700542100017,2715.720703125,7,Chenxi
2505318700542100018,3101.854248046875,7,Chenxi
2505318700542100019,2267.204833984375,7,Chenxi
2505318700542100020,1095.6700439453125,7,Chenxi
2505318700542100021,8663.2255859375,7,Chenxi
2505318700542100022,3649.19580078125,7,Chenxi
2505318700542100023,1566.5670166015625,7,Chenxi
2505318700542100024,2210.36279296875,7,Chenxi
2505318700542100025,5744.8193359375,7,Chenxi
2505318700542100026,1856.4708251953125,7,Chenxi
2505318700542100027,2067.5458984375,7,Chenxi
2505318700542100028,1664.456298828125,7,Chenxi
2505318700542100029,2884.569091796875,7,Chenxi
2505318700542100030,3086.76171875,7,Chenxi
2505318700542100031,4294.12109375,7,Chenxi
2505318700542100032,843.8189086914062,7,Chenxi
2505318700542100033,2703.922607421875,7,Chenxi
2505318700542100034,4269.56396484375,7,Chenxi
2505318700542100035,2565.898681640625,7,Chenxi
2505318700542100036,3721.33935546875,7,Chenxi
