EntityID,volume,Custom cell groups,model
2505318700508100001,6791.412598,4,Model_1
2505318700509100001,3518.543457,4,Model_1
2505318700509100002,4447.753906,4,Model_1
2505318700514100001,3944.55127,8,Model_1
2505318700518100002,6590.808105,14,Model_1
2505318700518100003,10348.71484,14,Model_1
2505318700518100004,3642.339844,14,Model_1
2505318700518100005,3750.979004,14,Model_1
2505318700518100006,4591.236816,14,Model_1
2505318700518100007,3800.298828,14,Model_1
2505318700518100008,7021.958008,14,Model_1
2505318700518100009,12404.45313,14,Model_1
2505318700518100010,6199.401855,14,Model_1
2505318700518100011,1813.731445,14,Model_1
2505318700519100001,5885.996094,14,Model_1
2505318700519100002,4954.726563,14,Model_1
2505318700519100005,37616.80078,14,Model_1
2505318700519100006,4231.990723,14,Model_1
2505318700519100007,3479.543945,14,Model_1
2505318700519100008,8640.012695,14,Model_1
2505318700519100009,2741.337402,14,Model_1
2505318700519100010,4442.710938,14,Model_1
2505318700519100011,4339.742188,14,Model_1
2505318700519100012,5957.208496,14,Model_1
2505318700519100013,8915.555664,14,Model_1
2505318700519100014,3967.893555,14,Model_1
2505318700519100015,5328.216797,14,Model_1
2505318700519100016,3048.922363,14,Model_1
2505318700519100017,4930.15625,14,Model_1
2505318700519100018,4484.961914,14,Model_1
2505318700519100019,7602.708984,14,Model_1
2505318700519100020,7424.896973,14,Model_1
2505318700519100021,7605.645996,14,Model_1
2505318700519100022,4356.654785,14,Model_1
2505318700520100002,2631.570801,14,Model_1
2505318700520100004,2221.196533203125,14,Model_1
2505318700520100005,7938.937012,14,Model_1
2505318700520100006,2630.656494140625,14,Model_1
2505318700520100007,3547.781982421875,14,Model_1
2505318700523100001,5241.398438,29,Model_1
2505318700523100002,2173.775391,29,Model_1
2505318700523100003,2749.449462890625,29,Model_1
2505318700523100004,5730.950684,29,Model_1
2505318700523100005,4608.206055,29,Model_1
2505318700523100006,4205.703125,29,Model_1
2505318700523100007,3290.685059,29,Model_1
2505318700523100008,3734.714599609375,29,Model_1
2505318700523100009,3482.912109,29,Model_1
2505318700523100010,4236.894043,29,Model_1
2505318700523100011,1783.616211,29,Model_1
2505318700523100013,2746.626465,29,Model_1
2505318700523100014,1921.2684326171875,29,Model_1
2505318700523100015,2897.023438,29,Model_1
2505318700523100016,3271.078613,29,Model_1
2505318700523100017,2406.458008,29,Model_1
2505318700523100018,2139.952637,29,Model_1
2505318700523100019,2739.469970703125,29,Model_1
2505318700524100002,3362.931152,29,Model_1
2505318700524100003,1924.3201904296875,29,Model_1
2505318700524100004,3775.105224609375,29,Model_1
2505318700524100005,3368.660888671875,29,Model_1
2505318700524100007,3308.563720703125,29,Model_1
2505318700536100001,6622.63623,4,Model_1
2505318700536100002,6371.894531,4,Model_1
2505318700536100003,4835.276367,4,Model_1
2505318700536100004,10347.65234,4,Model_1
2505318700536100005,6917.426758,4,Model_1
2505318700536100006,5135.02002,4,Model_1
2505318700536100007,5388.416504,4,Model_1
2505318700536100008,2229.900391,4,Model_1
2505318700536100009,5853.928223,4,Model_1
2505318700536100010,7939.935547,4,Model_1
2505318700536100011,7543.711914,4,Model_1
2505318700536100012,4848.51416,4,Model_1
2505318700536100013,5812.384766,4,Model_1
2505318700536100014,6645.277832,4,Model_1
2505318700536100015,10373.15039,4,Model_1
2505318700536100016,6162.079102,4,Model_1
2505318700536100017,12601.35156,4,Model_1
2505318700536100018,7545.404785,4,Model_1
2505318700536100019,4231.300781,4,Model_1
2505318700536100021,4937.430176,4,Model_1
2505318700536100022,3994.894287109375,4,Model_1
2505318700536100023,3312.713623046875,4,Model_1
2505318700536100024,6500.890137,4,Model_1
2505318700536100025,4518.374512,4,Model_1
2505318700536100026,3565.566895,4,Model_1
2505318700537100001,11399.6543,4,Model_1
2505318700537100002,5066.086914,4,Model_1
2505318700537100003,22585.82227,4,Model_1
2505318700537100004,13812.97949,4,Model_1
2505318700537100005,39936.80078,4,Model_1
2505318700537100006,17191.54102,4,Model_1
2505318700537100008,7618.691406,4,Model_1
2505318700537100009,20191.71484,4,Model_1
2505318700537100010,13484.85547,4,Model_1
2505318700537100012,11817.29004,4,Model_1
2505318700537100013,3181.786376953125,4,Model_1
2505318700537100015,9695.483398,4,Model_1
2505318700538100001,3981.771240234375,4,Model_1
2505318700538100002,3837.70166,4,Model_1
2505318700538100003,2245.42334,4,Model_1
2505318700541100001,3873.126953,8,Model_1
2505318700541100003,8527.608398,8,Model_1
2505318700541100004,8026.244141,8,Model_1
2505318700541100005,2298.560791015625,8,Model_1
2505318700541100007,2610.67627,8,Model_1
2505318700541100008,2445.358398,8,Model_1
2505318700542100001,4197.253906,8,Model_1
2505318700542100002,3069.249755859375,8,Model_1
2505318700542100003,2634.682129,8,Model_1
2505318700542100004,6558.873047,8,Model_1
2505318700542100006,5802.742188,8,Model_1
2505318700542100007,2574.194091796875,8,Model_1
2505318700542100008,3498.385009765625,8,Model_1
2505318700542100009,5359.407227,8,Model_1
2505318700542100010,2180.950927734375,8,Model_1
2505318700542100011,4204.330566,8,Model_1
2505318700542100012,1258.4937744140625,8,Model_1
2505318700542100013,3255.499267578125,8,Model_1
2505318700542100014,1339.802246,8,Model_1
2505318700542100015,3341.084228515625,8,Model_1
2505318700542100016,3236.381103515625,8,Model_1
2505318700542100017,2715.720703,8,Model_1
2505318700542100018,3101.854248046875,8,Model_1
2505318700542100019,2267.204833984375,8,Model_1
2505318700542100020,1095.6700439453125,8,Model_1
2505318700542100021,8663.225586,8,Model_1
2505318700542100022,3649.195801,8,Model_1
2505318700542100023,1566.5670166015625,8,Model_1
2505318700542100024,2210.362793,8,Model_1
2505318700542100025,5744.819336,8,Model_1
2505318700542100026,1856.4708251953125,8,Model_1
2505318700542100027,2067.545898,8,Model_1
2505318700542100028,1664.456298828125,8,Model_1
2505318700542100029,2884.569091796875,8,Model_1
2505318700542100030,3086.761719,8,Model_1
2505318700542100031,4294.121094,8,Model_1
2505318700542100032,843.8189086914062,8,Model_1
2505318700542100033,2703.922607421875,8,Model_1
2505318700542100034,4269.563965,8,Model_1
2505318700542100035,2565.898681640625,8,Model_1
2505318700542100036,3721.339355,8,Model_1
2505318700542100037,2932.675537109375,8,Model_1
2505318700542100038,4081.507080078125,8,Model_1
2505318700542100039,2999.892333984375,8,Model_1
2505318700542100040,2534.874023,8,Model_1
2505318700542100041,3721.50293,8,Model_1
2505318700542100042,6903.103516,8,Model_1
2505318700542100043,2364.929199,8,Model_1
2505318700542100044,2428.804199,8,Model_1
2505318700542100045,4794.826172,8,Model_1
2505318700542100046,2786.275391,8,Model_1
2505318700542100047,1229.020751953125,8,Model_1
2505318700542100048,6117.481445,8,Model_1
2505318700542100049,1723.6663818359375,8,Model_1
2505318700542100050,2074.146240234375,8,Model_1
2505318700542100051,1970.765625,8,Model_1
2505318700542100052,1924.199219,8,Model_1
2505318700542100053,3720.111816,8,Model_1
2505318700542100054,4525.139648,8,Model_1
2505318700542100055,5112.425293,8,Model_1
