Custom cell groups,embryo_total,cell_count,model
4,84247,321,Model_1
5,203345,411,Model_1
6,16511,246,Model_1
7,42867,488,Model_1
8,72786,361,Model_1
9,168958,454,Model_1
10,61351,417,Model_1
11,104292,709,Model_1
14,154347,349,Model_1
15,126735,369,Model_1
16,89534,363,Model_1
17,253990,962,Model_1
18,115984,433,Model_1
19,30642,231,Model_1
29,309173,803,Model_1
30,210550,788,Model_1
31,114398,414,Model_1
32,306403,700,Model_1
33,107304,459,Model_1
