cell,ACTC1.L,CD44.L,CDH1.S,CDX4.L,CHRD.1.S,DLX2.L,DLX3.L,EGR2.L,ELAVL3.L,EPHA2.L,EPHA4.L,EYA1.L,FOXC2.L,GATA2.L,GBX2.2.L,HNF1B.L,HOXA3.S,HOXC10.L,HOXD3.L,KRT12.4.L,MAFB.S,MSX1.L,MSX2.L,MYL1.L,MYOD1.S,NOG.L,OLIG4.L,OTX2.S,PAX3.S,PAX6.S,PAX7.L,PITX1.L,RAX.L,SIX1.L,SNAI1.S,SNAI2.L,SOX10.L,SOX17A.S,SOX2.L,SOX3.S,SOX8.L,SOX9.S,TFAP2A.L,TFAP2C.L,TP63.L,VENTX2.1.L,TBXT.S,ZIC1.S,OLIG3.S,EYA2.S,HOXB6.S,HOXB9.S,HOXC9.S,HOXD11.L
2685806100124100131,1,0,10,0,0,0,5,0,0,3,0,0,0,16,1,0,5,0,0,205,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,0,0,0,0,0,0,1,0,0,0
2685806100124100132,0,0,15,0,0,0,2,0,0,5,0,0,1,14,1,0,0,0,0,56,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,1
2685806100124100133,0,0,13,0,1,0,5,1,0,1,0,1,0,5,0,0,1,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,18,3,0,0,0,0,0,0,0,0,0
2685806100124100134,0,0,35,0,0,0,1,0,0,7,0,1,0,17,3,0,3,0,0,297,0,1,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,2,0,0,4,21,2,0,0,0,0,0,0,0,0,0
2685806100124100135,3,0,17,2,0,1,13,0,0,2,2,4,1,10,7,0,4,0,1,194,0,6,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,15,49,0,0,0,1,0,1,0,0,0,0
2685806100124100136,0,0,18,0,0,0,3,0,0,1,0,0,0,6,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0
2685806100124100137,0,0,30,0,1,0,5,1,0,2,0,0,0,22,0,0,1,0,0,138,1,0,0,1,0,2,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,9,39,4,0,0,1,1,1,0,0,0,0
2685806100124100138,1,0,44,0,0,0,6,0,0,6,1,0,0,7,1,1,3,0,0,407,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,7,44,2,0,0,1,0,0,1,0,0,0
2685806100124100139,0,1,22,0,0,0,6,0,0,6,0,0,0,33,1,0,3,0,1,359,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10,32,3,0,0,0,0,0,1,0,0,0
2685806100124100140,2,0,32,1,0,0,19,0,0,3,0,4,0,3,7,0,9,1,0,279,0,13,2,0,0,2,0,0,0,1,1,2,0,1,1,0,0,1,0,8,0,1,12,36,2,1,0,0,0,10,0,0,0,0
