EntityID,crop,stage,embryo_ID,section_level,uniqueID,fov,volume,center_x,center_y,min_x,min_y,max_x,max_y,anisotropy,transcript_count,perimeter_area_ratio,solidity
2685806100002100001,1,22,15,,MER02-R1-1,,2332.9165166625125,648.6414386711094,284.60976209788987,8852.29054464589,272.6717781670757,8870.828442314902,289.6923331331403,1.1893450443388949,,0.2567248284927628,0.9649935120260582
2685806100002100002,1,22,15,,MER02-R1-1,,2509.918010815886,704.7643468367132,284.6054476400792,8908.768159246614,272.67764213420656,8927.64792424325,289.17119519701697,1.145633619004884,,0.2406517884215702,0.9832544843713316
2685806100002100003,1,22,15,,MER02-R1-1,,1671.9089081450825,632.1726297504138,284.85340117638486,8836.300756083174,274.40690758363644,8852.804540648223,286.77881629114535,1.3781417332543364,,0.2979976038748725,0.9797523563368048
2685806100002100004,1,22,15,,MER02-R1-1,,3899.188685057352,665.8970065589565,289.0954089393017,8866.659326060448,275.0549714365753,8890.816029955973,295.6508186902336,1.2479054063213888,,0.1903832960351577,0.9882159720048588
2685806100002100005,1,22,15,,MER02-R1-1,,2342.710971479686,687.0398552202296,289.173292843334,8888.639490759226,276.7757020983257,8910.380908520632,292.53835189690176,1.8570642105894213,,0.2762340184674245,0.9501360158450046
2685806100002100006,1,22,15,,MER02-R1-1,,1267.613067404461,720.7178105011317,284.99081931323224,8925.945938025123,275.59488556373515,8941.738346038646,286.1362899140736,1.1943214158591218,,0.3483494854004198,0.9822891698584344
2685806100002100007,1,22,15,,MER02-R1-1,,1413.062536920234,744.4124770197741,287.0304359979533,8948.304608733513,277.443579157923,8964.50125156037,289.7155728107681,1.5272712268132416,,0.3480964334687265,0.9181019041770077
2685806100002100011,1,22,15,,MER02-R1-1,,1205.6407062719811,738.6992968649338,293.9669257525373,8944.414083350148,284.12056748279167,8959.07121140778,295.6532820511307,1.1845100784432008,,0.3700590079095928,0.9584960162255328
2685806100002100012,1,22,15,,MER02-R1-1,,803.498176767548,639.1839801135684,293.2828749023789,8845.783926083272,284.5107244592168,8858.645752042547,293.2932984063891,1.4021703320112835,,0.4350415292297905,0.9849378152210368
2685806100026100001,1,22,15,,MER02-R1-1,,2412.920602269264,294.9518381807029,421.48252561598485,8500.227603469517,406.7032140656316,8513.90352188557,428.8358820434677,1.6290289355526486,,0.2558270616165574,0.9873358633661578
2685806100026100002,1,22,15,,MER02-R1-1,,1426.734268926673,281.54254980044607,422.5319056328567,8486.146888029245,412.1217269229988,8501.45255489206,424.6239601140269,1.277061872235008,,0.3301271309132048,0.9748518236372572
2685806100026100003,1,22,15,,MER02-R1-1,,1004.2842233803732,265.9442832509885,424.57668207834064,8471.382581532998,415.6683650810242,8486.007039967899,425.5437904754582,1.5791237415789212,,0.4017395755563808,0.9794454196026348
2685806100026100004,1,22,15,,MER02-R1-1,,2257.3823308367505,252.0777342085276,430.96906025195057,8456.467884360647,418.5971528615698,8472.785556360579,435.0935301366849,1.063819131485307,,0.2548297122428251,0.9772710010201427
2685806100026100005,1,22,15,,MER02-R1-1,,1490.4085656364136,274.5426713534871,431.8541838291399,8480.22768867653,420.1980452031887,8494.909703680638,435.0935301366849,1.0629596383867854,,0.3101386283448785,0.9939826447189336
2685806100026100006,1,22,15,,MER02-R1-1,,2120.852969486748,215.69217467823543,431.5516796686108,8416.083515638471,422.14692780691473,8441.450143969905,433.58779396386257,2.4087770716029606,,0.3018953986293673,0.9737045471926598
2685806100026100007,1,22,15,,MER02-R1-1,,803.3638069856246,234.016348539084,430.76655670270566,8441.564007107958,422.1471050782838,8453.003137790101,431.52959619642746,1.0374282868260678,,0.4269841287016818,0.9907698758232006
2685806100026100008,1,22,15,,MER02-R1-1,,3181.2746447865184,285.05556352234817,438.7885453431737,8484.1166581733,423.1243668955104,8508.815704931856,444.0445221571263,1.4282067948126649,,0.2411753787154398,0.8998966438847876
2685806100026100009,1,22,15,,MER02-R1-1,,1736.0668218600567,264.84583653180016,438.0786624100214,8471.9176211935,424.5605029873652,8485.56488625995,442.4126025160555,1.454643523108338,,0.3045644090926281,0.9493026417758144
2685806100026100010,1,22,15,,MER02-R1-1,,2337.600706219362,196.2931675511172,437.351269277517,8397.727188153765,426.3529295925717,8419.413369530317,442.75780550935,1.0034135380241564,,0.2614163005326193,0.970071135711477
2685806100026100011,1,22,15,,MER02-R1-1,,1880.6897588727893,226.0926831555589,440.1036726584662,8429.221650426533,428.0868177074083,8446.831686580479,445.0774167884245,1.1734735543469337,,0.2921618694410143,0.9665966812439858
2685806100026100012,1,22,15,,MER02-R1-1,,3046.690066444265,238.81067430399528,444.85290864709305,8441.457777789468,429.0803261918925,8460.941646506037,451.1723900377185,1.541632821112844,,0.2291748192806018,0.9438330467174728
2685806100026100013,1,22,15,,MER02-R1-1,,2456.6548091291984,185.93766027972745,445.3374345959597,8389.298357817777,431.68837086795753,8409.910805442618,449.3492658978693,1.8252683667649352,,0.255419449610909,0.9841367732074836
2685806100026100014,1,22,15,,MER02-R1-1,,1264.5604294252507,170.91608757303038,444.65390960456085,8375.663797960395,433.5339506029418,8390.372428718287,445.209039911923,1.2507627610453282,,0.3597692563180574,0.977813277329164
2685806100026100015,1,22,15,,MER02-R1-1,,3921.036042071068,217.3963444251931,451.7196280721666,8418.884260292185,433.4877337144629,8443.081283363133,460.1610342391793,1.3344496881824386,,0.233318627431388,0.8289626817285469
2685806100026100016,1,22,15,,MER02-R1-1,,2444.396378794602,253.2561058223928,447.6535628956722,8457.487311787225,434.67527203244777,8475.367728702826,452.3804471565524,1.099650538456578,,0.2485263347593869,0.9692702135321256
2685806100026100017,1,22,15,,MER02-R1-1,,1661.3989371299251,205.091024928588,449.1568484571423,8409.983025666541,436.840112665741,8425.987601847815,451.707926075796,1.1150475457295113,,0.2968561568349085,0.984458774704095
2685806100026100018,1,22,15,,MER02-R1-1,,3800.545534888545,270.9036885787682,461.0431790294364,8472.994301131148,440.5694947199612,8493.66041231126,473.5888883107934,2.208422293124693,,0.2369070120829253,0.8579154270717058
2685806100026100019,1,22,15,,MER02-R1-1,,685.4092353797126,277.33002005792514,451.239752793601,8486.707635308134,440.6331984453677,8494.205372548271,454.5194848401652,1.899073459901712,,0.5215942462816628,0.9417394582806804
2685806100026100020,1,22,15,,MER02-R1-1,,2569.681657517405,167.50010600739552,455.3867567920035,8369.642537740365,442.0195657409216,8391.535885589788,458.9081766703035,1.5423426561558085,,0.258651221588734,0.9120230407755467
2685806100026100021,1,22,15,,MER02-R1-1,,1239.478911940858,147.2005832891355,451.0451928818171,8351.276750707608,442.3425534685928,8368.44237963756,451.1865490326696,1.9338540659256207,,0.3667165197849905,0.9741369782141966
2685806100026100022,1,22,15,,MER02-R1-1,,5359.47960909125,289.1947675654992,463.52746934357634,8490.271605955515,443.03777444373145,8514.523528293224,473.7579038765387,1.3585447849839496,,0.178110244336465,0.9192012446296792
2685806100026100023,1,22,15,,MER02-R1-1,,1941.9214100634504,129.4690546454858,453.4177345529694,8329.704061988254,443.53053144869153,8352.394468348284,456.51316598042695,1.5702616430974277,,0.3057811669509474,0.9401690290021736
