Embryo,Truth image,Test image,Slice number,Truth objects,Test objects,Object IoU threshold,Object TP,Object FP,Object FN,Object Precision,Object Recall/Sensitivity,Object Jaccard Index,Object F-measure
Embryo07,mosaic_Cellbound3_z3_DAPI_mask.tif,max_image_z3_DAPI_mask.tif,1,1524,1469,0.75,927,542,597,0.631,0.608,0.449,0.619
Embryo07,mosaic_Cellbound3_z3_DAPI_mask.tif,max_image_z3_DAPI_mask.tif,1,1524,1469,0.8,809,660,715,0.551,0.531,0.37,0.541
Embryo07,mosaic_Cellbound3_z3_DAPI_mask.tif,max_image_z3_DAPI_mask.tif,1,1524,1469,0.85,643,826,881,0.438,0.422,0.274,0.43
Embryo07,mosaic_Cellbound3_z3_DAPI_mask.tif,max_image_z3_DAPI_mask.tif,1,1524,1469,0.9,412,1057,1112,0.28,0.27,0.16,0.275
Embryo07,mosaic_Cellbound3_z3_DAPI_mask.tif,max_image_z3_DAPI_mask.tif,1,1524,1469,0.95,123,1346,1401,0.084,0.081,0.043,0.082
Embryo07,mosaic_Cellbound3_z3_DAPI_mask.tif,max_image_z3_DAPI_mask.tif,1,1524,1469,1.0,0,1469,1524,0.0,0.0,0.0,
Embryo07,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound1_z3_DAPI_mask.tif,1,1524,1233,0.5,888,345,636,0.72,0.583,0.475,0.644
Embryo07,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound1_z3_DAPI_mask.tif,1,1524,1233,0.55,827,406,697,0.671,0.543,0.428,0.6
Embryo07,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound1_z3_DAPI_mask.tif,1,1524,1233,0.6,756,477,768,0.613,0.496,0.378,0.548
Embryo07,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound1_z3_DAPI_mask.tif,1,1524,1233,0.65,644,589,880,0.522,0.423,0.305,0.467
Embryo07,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound1_z3_DAPI_mask.tif,1,1524,1233,0.7,542,691,982,0.44,0.356,0.245,0.393
Embryo07,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound1_z3_DAPI_mask.tif,1,1524,1233,0.75,425,808,1099,0.345,0.279,0.182,0.308
Embryo07,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound1_z3_DAPI_mask.tif,1,1524,1233,0.8,261,972,1263,0.212,0.171,0.105,0.189
Embryo07,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound1_z3_DAPI_mask.tif,1,1524,1233,0.85,137,1096,1387,0.111,0.09,0.052,0.099
Embryo07,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound1_z3_DAPI_mask.tif,1,1524,1233,0.9,31,1202,1493,0.025,0.02,0.011,0.022
Embryo07,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound1_z3_DAPI_mask.tif,1,1524,1233,0.95,3,1230,1521,0.002,0.002,0.001,0.002
Embryo07,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound1_z3_DAPI_mask.tif,1,1524,1233,1.0,0,1233,1524,0.0,0.0,0.0,
Embryo07,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound2_z3_DAPI_mask.tif,1,1524,1375,0.5,842,533,682,0.612,0.552,0.409,0.581
Embryo07,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound2_z3_DAPI_mask.tif,1,1524,1375,0.55,739,636,785,0.537,0.485,0.342,0.51
Embryo07,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound2_z3_DAPI_mask.tif,1,1524,1375,0.6,631,744,893,0.459,0.414,0.278,0.435
Embryo07,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound2_z3_DAPI_mask.tif,1,1524,1375,0.65,508,867,1016,0.369,0.333,0.212,0.35
