Embryo,Truth image,Test image,Slice number,Truth objects,Test objects,Object IoU threshold,Object TP,Object FP,Object FN,Object Precision,Object Recall/Sensitivity,Object Jaccard Index,Object F-measure
Embryo13,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_Cellbound1_z3_DAPI_mask_endo.tif,1,79,69,1.0,0,69,79,0.0,0.0,0.0,
Embryo13,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_Cellbound2_z3_DAPI_mask_endo.tif,1,79,288,0.5,7,281,72,0.024,0.089,0.019,0.038
Embryo13,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_Cellbound2_z3_DAPI_mask_endo.tif,1,79,288,0.55,6,282,73,0.021,0.076,0.017,0.033
Embryo13,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_Cellbound2_z3_DAPI_mask_endo.tif,1,79,288,0.6,4,284,75,0.014,0.051,0.011,0.022
Embryo13,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_Cellbound2_z3_DAPI_mask_endo.tif,1,79,288,0.65,3,285,76,0.01,0.038,0.008,0.016
Embryo13,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_Cellbound2_z3_DAPI_mask_endo.tif,1,79,288,0.7,2,286,77,0.007,0.025,0.005,0.011
Embryo13,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_Cellbound2_z3_DAPI_mask_endo.tif,1,79,288,0.75,1,287,78,0.003,0.013,0.003,0.005
Embryo13,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_Cellbound2_z3_DAPI_mask_endo.tif,1,79,288,0.8,0,288,79,0.0,0.0,0.0,
Embryo13,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_Cellbound2_z3_DAPI_mask_endo.tif,1,79,288,0.85,0,288,79,0.0,0.0,0.0,
Embryo13,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_Cellbound2_z3_DAPI_mask_endo.tif,1,79,288,0.9,0,288,79,0.0,0.0,0.0,
Embryo13,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_Cellbound2_z3_DAPI_mask_endo.tif,1,79,288,0.95,0,288,79,0.0,0.0,0.0,
Embryo13,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_Cellbound2_z3_DAPI_mask_endo.tif,1,79,288,1.0,0,288,79,0.0,0.0,0.0,
Embryo13,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_PolyT_z3_DAPI_mask_endo.tif,1,79,47,0.5,17,30,62,0.362,0.215,0.156,0.27
Embryo13,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_PolyT_z3_DAPI_mask_endo.tif,1,79,47,0.55,14,33,65,0.298,0.177,0.125,0.222
Embryo13,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_PolyT_z3_DAPI_mask_endo.tif,1,79,47,0.6,12,35,67,0.255,0.152,0.105,0.19
Embryo13,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_PolyT_z3_DAPI_mask_endo.tif,1,79,47,0.65,11,36,68,0.234,0.139,0.096,0.175
Embryo13,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_PolyT_z3_DAPI_mask_endo.tif,1,79,47,0.7,8,39,71,0.17,0.101,0.068,0.127
Embryo13,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_PolyT_z3_DAPI_mask_endo.tif,1,79,47,0.75,7,40,72,0.149,0.089,0.059,0.111
Embryo13,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_PolyT_z3_DAPI_mask_endo.tif,1,79,47,0.8,1,46,78,0.021,0.013,0.008,0.016
Embryo13,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_PolyT_z3_DAPI_mask_endo.tif,1,79,47,0.85,1,46,78,0.021,0.013,0.008,0.016
Embryo13,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_PolyT_z3_DAPI_mask_endo.tif,1,79,47,0.9,0,47,79,0.0,0.0,0.0,
Embryo13,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_PolyT_z3_DAPI_mask_endo.tif,1,79,47,0.95,0,47,79,0.0,0.0,0.0,
Embryo13,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_PolyT_z3_DAPI_mask_endo.tif,1,79,47,1.0,0,47,79,0.0,0.0,0.0,
