Embryo,Truth image,Test image,Slice number,Truth objects,Test objects,Object IoU threshold,Object TP,Object FP,Object FN,Object Precision,Object Recall/Sensitivity,Object Jaccard Index,Object F-measure
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,average_image_z3_DAPI_mask_ecto.tif,1,204,204,0.6,164,40,40,0.804,0.804,0.672,0.804
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,average_image_z3_DAPI_mask_ecto.tif,1,204,204,0.65,158,46,46,0.775,0.775,0.632,0.775
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,average_image_z3_DAPI_mask_ecto.tif,1,204,204,0.7,152,52,52,0.745,0.745,0.594,0.745
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,average_image_z3_DAPI_mask_ecto.tif,1,204,204,0.75,143,61,61,0.701,0.701,0.54,0.701
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,average_image_z3_DAPI_mask_ecto.tif,1,204,204,0.8,135,69,69,0.662,0.662,0.495,0.662
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,average_image_z3_DAPI_mask_ecto.tif,1,204,204,0.85,112,92,92,0.549,0.549,0.378,0.549
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,average_image_z3_DAPI_mask_ecto.tif,1,204,204,0.9,63,141,141,0.309,0.309,0.183,0.309
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,average_image_z3_DAPI_mask_ecto.tif,1,204,204,0.95,12,192,192,0.059,0.059,0.03,0.059
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,average_image_z3_DAPI_mask_ecto.tif,1,204,204,1.0,0,204,204,0.0,0.0,0.0,
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,max_image_z3_DAPI_mask_ecto.tif,1,204,192,0.5,142,50,62,0.74,0.696,0.559,0.717
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,max_image_z3_DAPI_mask_ecto.tif,1,204,192,0.55,134,58,70,0.698,0.657,0.511,0.677
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,max_image_z3_DAPI_mask_ecto.tif,1,204,192,0.6,129,63,75,0.672,0.632,0.483,0.652
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,max_image_z3_DAPI_mask_ecto.tif,1,204,192,0.65,119,73,85,0.62,0.583,0.43,0.601
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,max_image_z3_DAPI_mask_ecto.tif,1,204,192,0.7,103,89,101,0.536,0.505,0.352,0.52
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,max_image_z3_DAPI_mask_ecto.tif,1,204,192,0.75,91,101,113,0.474,0.446,0.298,0.46
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,max_image_z3_DAPI_mask_ecto.tif,1,204,192,0.8,67,125,137,0.349,0.328,0.204,0.338
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,max_image_z3_DAPI_mask_ecto.tif,1,204,192,0.85,32,160,172,0.167,0.157,0.088,0.162
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,max_image_z3_DAPI_mask_ecto.tif,1,204,192,0.9,11,181,193,0.057,0.054,0.029,0.056
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,max_image_z3_DAPI_mask_ecto.tif,1,204,192,0.95,0,192,204,0.0,0.0,0.0,
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,max_image_z3_DAPI_mask_ecto.tif,1,204,192,1.0,0,192,204,0.0,0.0,0.0,
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound1_z3_DAPI_mask_ecto.tif,1,204,192,0.5,130,62,74,0.677,0.637,0.489,0.657
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound1_z3_DAPI_mask_ecto.tif,1,204,192,0.55,119,73,85,0.62,0.583,0.43,0.601
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound1_z3_DAPI_mask_ecto.tif,1,204,192,0.6,112,80,92,0.583,0.549,0.394,0.566
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound1_z3_DAPI_mask_ecto.tif,1,204,192,0.65,96,96,108,0.5,0.471,0.32,0.485
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound1_z3_DAPI_mask_ecto.tif,1,204,192,0.7,79,113,125,0.411,0.387,0.249,0.399
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound1_z3_DAPI_mask_ecto.tif,1,204,192,0.75,59,133,145,0.307,0.289,0.175,0.298
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound1_z3_DAPI_mask_ecto.tif,1,204,192,0.8,34,158,170,0.177,0.167,0.094,0.172
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound1_z3_DAPI_mask_ecto.tif,1,204,192,0.85,15,177,189,0.078,0.074,0.039,0.076
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound1_z3_DAPI_mask_ecto.tif,1,204,192,0.9,4,188,200,0.021,0.02,0.01,0.02
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound1_z3_DAPI_mask_ecto.tif,1,204,192,0.95,0,192,204,0.0,0.0,0.0,
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound1_z3_DAPI_mask_ecto.tif,1,204,192,1.0,0,192,204,0.0,0.0,0.0,
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound2_z3_DAPI_mask_ecto.tif,1,204,182,0.5,110,72,94,0.604,0.539,0.399,0.57
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound2_z3_DAPI_mask_ecto.tif,1,204,182,0.55,101,81,103,0.555,0.495,0.354,0.523
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound2_z3_DAPI_mask_ecto.tif,1,204,182,0.6,84,98,120,0.462,0.412,0.278,0.435
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound2_z3_DAPI_mask_ecto.tif,1,204,182,0.65,59,123,145,0.324,0.289,0.18,0.306
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound2_z3_DAPI_mask_ecto.tif,1,204,182,0.7,42,140,162,0.231,0.206,0.122,0.218
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound2_z3_DAPI_mask_ecto.tif,1,204,182,0.75,28,154,176,0.154,0.137,0.078,0.145
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound2_z3_DAPI_mask_ecto.tif,1,204,182,0.8,15,167,189,0.082,0.074,0.04,0.078
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound2_z3_DAPI_mask_ecto.tif,1,204,182,0.85,4,178,200,0.022,0.02,0.01,0.021
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound2_z3_DAPI_mask_ecto.tif,1,204,182,0.9,0,182,204,0.0,0.0,0.0,
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound2_z3_DAPI_mask_ecto.tif,1,204,182,0.95,0,182,204,0.0,0.0,0.0,
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound2_z3_DAPI_mask_ecto.tif,1,204,182,1.0,0,182,204,0.0,0.0,0.0,
