EntityID,volume,x,y,sox3_expression,sox17a_expression,model
10827,10815.4873046875,1231.575827056833,5251.623027293012,2,5,Model_2
10828,45575.0546875,1228.1239890928846,5300.097496538132,24,43,Model_2
10829,8911.65625,1184.1060639154748,5299.721610438486,3,5,Model_2
10830,2340.66455078125,1173.222676019941,5316.261305375723,3,5,Model_2
10831,4658.35400390625,1176.0336309826816,5335.4131260843715,7,4,Model_2
10832,15760.01953125,1223.6920109742787,5341.9105858068215,5,12,Model_2
10833,14530.298828125,1172.5464633219526,5361.641073274135,14,25,Model_2
10834,11721.7001953125,1266.0787859166157,5229.717770249175,8,4,Model_2
10835,11420.314453125,1349.151792057557,5234.564016033895,4,3,Model_2
10836,9910.2080078125,1375.8653008001274,5253.160486226901,6,5,Model_2
10837,16410.279296875,1422.151691720006,5264.8179011856555,6,8,Model_2
10838,26241.54296875,1472.312035678071,5292.5621107247425,5,6,Model_2
10839,34216.76171875,1397.6602713003522,5324.64596767741,0,4,Model_2
10840,9072.9716796875,1430.5080281119444,5303.84434613667,9,5,Model_2
10841,10830.1953125,1354.3716109063243,5308.090728578158,0,3,Model_2
10842,15338.6318359375,1512.2158349274541,5325.88596787455,4,4,Model_2
10843,8250.2158203125,1528.6413819997106,5310.452028098865,2,3,Model_2
10844,13541.7265625,1463.4514167737798,5331.5292052389705,13,6,Model_2
10845,8842.1279296875,1553.0636390715954,5336.778186130454,3,2,Model_2
10846,15542.880859375,1450.3951949860202,5362.5949195796275,2,4,Model_2
10847,11167.4267578125,1574.1635236807633,5362.349745751475,1,7,Model_2
10848,2885.203369140625,1534.4145076306304,5353.633710177732,3,1,Model_2
10854,13699.2109375,2719.913645904744,5363.8469311746885,23,2,Model_2
10857,17090.705078125,3872.8977249353193,5140.504878572887,10,26,Model_2
10858,9989.51171875,3837.9860003329813,5143.913995923998,2,8,Model_2
10859,8664.638671875,3901.0321319389623,5143.057653907512,89,5,Model_2
10860,5900.037109375,3800.5420456069987,5144.639625668991,0,1,Model_2
10861,4834.94287109375,3800.945287488168,5162.2497481268365,0,9,Model_2
10862,20150.51953125,3742.2802684438648,5188.21839043207,0,0,Model_2
10863,108149.6640625,3818.6023104081396,5212.248958355107,6,7,Model_2
10864,24282.208984375,3920.004294190556,5184.588828601467,4,5,Model_2
10865,1912.5208740234375,3777.6235447169747,5180.574902037391,1,1,Model_2
10866,1409.748046875,3764.8169324155897,5194.041092212487,0,1,Model_2
10867,12040.640625,3895.797812954057,5215.557745205937,1,6,Model_2
10868,3412.545166015625,3924.1393647596706,5219.708743016876,0,0,Model_2
10869,3324.644287109375,3749.163690213347,5217.964970659872,1,6,Model_2
10870,9182.6083984375,3740.4060683078133,5241.529213722446,5,9,Model_2
10872,25986.890625,3740.649348369683,5276.5572762714,2,23,Model_2
10873,49226.58984375,3783.935476993909,5327.32238975534,5,16,Model_2
10874,13692.609375,3863.019679812016,5300.361040739575,0,0,Model_2
10875,21954.025390625,3720.9758858829737,5311.408700615633,2,13,Model_2
10876,25158.603515625,3828.973820481915,5347.800410105032,3,5,Model_2
10877,3251.810302734375,3813.243704542052,5319.950924195931,0,0,Model_2
10878,3004.46826171875,3864.672695331741,5325.976406635367,0,0,Model_2
10879,9767.8115234375,3693.253927196143,5356.6478645030875,1,1,Model_2
10880,23582.767578125,3730.815954459249,5349.681253708899,31,3,Model_2
10881,2339.114990234375,3872.624293796718,5356.836514105729,0,4,Model_2
10882,22972.630859375,3986.95257354388,5070.248092474416,10,0,Model_2
10883,4342.0673828125,3956.792750698747,5061.910769211594,0,1,Model_2
10884,8993.8017578125,4068.2315906193107,5072.252582821588,5,7,Model_2
10885,5753.0283203125,4093.1575548013207,5072.624936157139,3,1,Model_2
10886,25176.2890625,4276.294734545285,5090.266853491834,0,1,Model_2
10887,4820.00927734375,4028.630107700359,5075.080207202758,2,0,Model_2
10888,1201.8389892578125,3937.0076601798646,5069.104183460644,0,1,Model_2
10889,5805.779296875,4014.006605324801,5088.0913773624925,18,0,Model_2
10890,1708.830078125,3950.7938372336794,5077.0564354371745,0,0,Model_2
10891,34005.6015625,4111.33704294404,5102.080416623561,76,11,Model_2
10892,10491.87890625,4201.6148905388545,5090.342454643454,12,5,Model_2
10893,4654.3447265625,4232.422386131482,5090.415936136618,1,1,Model_2
10894,6023.73095703125,4066.6278295302764,5108.638639888435,43,2,Model_2
10895,4140.998046875,3991.106056984281,5104.826080877741,40,3,Model_2
10896,4123.296875,4040.0350401750766,5105.799710662162,5,0,Model_2
10897,4390.23583984375,3975.680213742424,5115.150230667263,8,0,Model_2
10898,5990.67529296875,4008.64938042406,5116.320988688152,14,2,Model_2
10899,165.59683227539062,4026.7621219083667,5112.225808549905,0,0,Model_2
10900,12772.3095703125,4269.932627194095,5129.831691690837,8,1,Model_2
10901,8497.3056640625,4239.130195141071,5139.872513799986,121,6,Model_2
10902,46563.0078125,4148.283389823511,5160.638101146964,5,8,Model_2
10903,6497.08740234375,4190.60537447501,5139.139111973986,30,7,Model_2
10904,1687.5374755859375,4082.0799111137167,5134.740114123619,0,0,Model_2
10905,7127.45068359375,4249.204797665356,5159.929428669624,60,2,Model_2
10906,10570.6103515625,4209.1029449692,5161.446397571766,73,5,Model_2
10907,11166.435546875,4188.064858559286,5186.170093810128,3,6,Model_2
10908,75.89225006103516,3967.4252632230055,5159.35641433351,0,0,Model_2
10909,10644.5439453125,4004.45769027574,5192.699348409427,3,2,Model_2
10910,1630.2178955078125,4028.38061329443,5192.6138555183425,0,0,Model_2
10911,22170.21484375,4067.246041683713,5223.158133878664,4,43,Model_2
10912,13452.1591796875,4219.010911008343,5216.927044568933,5,4,Model_2
10913,2374.2783203125,4153.86202950147,5211.9790551782935,1,0,Model_2
10914,9653.5234375,4282.344743728172,5221.943569583003,60,2,Model_2
10915,8191.09814453125,4192.595345539274,5225.696071604092,2,2,Model_2
10916,16893.58203125,4030.379790794337,5236.9345007412485,6,27,Model_2
10917,13636.4013671875,4097.6452318555675,5256.699609296687,2,22,Model_2
10918,6264.28759765625,4291.545655509923,5252.13669119234,4,1,Model_2
10919,4433.4228515625,4264.568497466622,5254.4775006813,0,0,Model_2
10920,17818.615234375,4058.2067028474994,5273.131908205454,2,46,Model_2
10921,3884.412353515625,4017.144618913764,5266.080511073,0,8,Model_2
10922,12137.8447265625,4190.797328658169,5278.715088580269,2,2,Model_2
10923,12254.9072265625,4226.1505018495955,5275.123680601886,2,2,Model_2
10924,6583.56640625,4112.258146830136,5278.709436157718,2,16,Model_2
10925,8754.138671875,3953.8549770850223,5284.308867247368,0,31,Model_2
10926,2480.67431640625,3974.726427009795,5283.281539448712,0,3,Model_2
10927,13750.5947265625,4013.088263369398,5291.598372679786,1,42,Model_2
10928,3652.743408203125,4140.776001878316,5279.139726824418,0,1,Model_2
10929,25923.3203125,4161.890962025849,5328.825227601104,5,34,Model_2
10930,17650.98046875,4187.97601645533,5323.352269466035,6,45,Model_2
10931,7920.68994140625,4246.732869695174,5297.449336572958,2,1,Model_2
10932,9647.1240234375,4279.662909025326,5295.681541420112,4,1,Model_2
10933,741.9480590820312,3991.4176948308013,5285.553106761421,0,1,Model_2
10934,13538.115234375,4089.0072936133947,5299.990807062481,2,41,Model_2
10935,14974.44921875,4127.143111977959,5308.30410752946,2,16,Model_2
10936,3391.791015625,4040.7651105215773,5300.414032200992,2,18,Model_2
10937,8460.24609375,3977.8193290641066,5309.765258758911,4,46,Model_2
10938,2528.636962890625,4216.598364548059,5305.0794004640775,1,0,Model_2
10939,16668.763671875,4036.2304806455504,5319.970001122041,8,72,Model_2
10940,3289.026611328125,4072.7689824260306,5318.316667525854,3,18,Model_2
10941,7243.91845703125,4213.73654402839,5327.253147579089,4,5,Model_2
10942,1101.9354248046875,4254.4404976156075,5320.576223440643,0,0,Model_2
10943,360.61669921875,4254.950073828455,5324.643141466135,0,1,Model_2
10944,14717.8271484375,4085.5346260888036,5349.166883256752,4,37,Model_2
10945,6239.21923828125,4235.814037022414,5336.766881285352,3,9,Model_2
10946,20189.44140625,4007.759578419151,5348.416524163098,0,23,Model_2
10947,13438.2568359375,4051.894770570565,5353.84991534031,5,32,Model_2
10948,327.3047180175781,3970.987693495117,5342.4065858856775,0,2,Model_2
10949,874.4776611328125,3939.342872580746,5362.22609900817,1,2,Model_2
10950,168.17054748535156,4133.406710467767,5358.625505843142,2,3,Model_2
10951,3483.40185546875,3944.476381095359,5379.827742832189,0,2,Model_2
10952,6706.41650390625,4019.72196057206,5376.210192399507,0,27,Model_2
10953,1394.4344482421875,3975.2917021582834,5371.547650347697,0,3,Model_2
10954,24630.580078125,4322.8033458055,5123.8323517057,0,0,Model_2
10955,13630.501953125,4303.169701152947,5158.334738957405,44,2,Model_2
10956,14382.517578125,4333.284872785211,5179.42463404825,17,1,Model_2
10957,28691.50390625,4273.5696295949165,5185.525717639306,112,3,Model_2
10958,10780.6259765625,4342.151590953115,5205.423658124695,23,0,Model_2
10959,5932.583984375,4378.876062733587,5203.03550959687,7,0,Model_2
10960,1821.9718017578125,4363.410631818464,5209.145778374572,9,0,Model_2
10961,7790.26513671875,4308.884596078424,5216.892423480807,51,3,Model_2
10962,12828.4970703125,4389.248493450927,5233.500654041476,39,0,Model_2
10963,6461.802734375,4355.299762016861,5227.5571317290305,21,0,Model_2
10964,3536.47021484375,4335.680847661337,5236.4201302891015,12,0,Model_2
10965,8309.712890625,4317.201690038433,5253.249511882081,25,0,Model_2
10966,27221.666015625,4412.208423301345,5267.743029855832,61,6,Model_2
10967,4159.845703125,4353.469982932787,5249.939311925613,57,2,Model_2
10968,3894.50927734375,4360.694272981957,5264.646915403486,49,1,Model_2
10969,15431.20703125,4333.567510359455,5279.15103166952,44,1,Model_2
10970,11798.8837890625,4372.259857758647,5288.561608664226,114,2,Model_2
10971,3323.900390625,4438.621687161503,5287.247420421103,1,0,Model_2
10972,23779.41015625,4297.425345633412,5316.987641673535,1,4,Model_2
10973,4505.77392578125,4405.7353784006555,5304.996733784268,20,0,Model_2
10974,1951.1395263671875,4459.690615130821,5308.782443787844,2,0,Model_2
10975,1860.731201171875,4427.4358678550925,5311.920951409324,2,0,Model_2
10976,4834.6005859375,4340.472337091807,5315.173214034643,1,1,Model_2
10977,1720.10400390625,4467.3641792393755,5325.978526293824,2,0,Model_2
10978,1787.70458984375,4445.131097482983,5332.311359209474,1,0,Model_2
10979,2495.23779296875,4385.8080484510865,5349.81337908603,6,0,Model_2
10980,7716.99951171875,4469.572803150164,5351.805151482462,31,1,Model_2
10981,4700.193359375,4316.954957563197,5347.450666459685,0,0,Model_2
10982,9609.0185546875,4443.13698352268,5365.405586693145,43,2,Model_2
10983,2919.29150390625,4409.876433152938,5365.821039750648,57,1,Model_2
10988,9066.8330078125,5296.567123136483,5310.506432665919,13,0,Model_2
10989,4695.59130859375,5278.337459919509,5324.3598137857625,6,0,Model_2
10990,9437.6318359375,5256.368602866074,5340.625366229273,33,0,Model_2
10991,4693.00390625,5410.766973106423,5274.493435487442,36,0,Model_2
10992,6348.7138671875,5354.480206549633,5275.157595137192,3,0,Model_2
10993,4746.6435546875,5393.698241424048,5277.926575634396,74,1,Model_2
10994,7605.76513671875,5371.128204123117,5285.454189366777,147,0,Model_2
10995,17445.474609375,5444.960595728597,5282.721243063337,127,1,Model_2
10996,14148.77734375,5485.034829117823,5294.774327600666,101,0,Model_2
10997,5569.80419921875,5508.989974661265,5284.121630750364,31,2,Model_2
