EntityID,volume,x,y,sox3_expression,sox17a_expression,model
11263,6791.41259765625,1269.372618428839,5228.1986816885765,5,2,Model_1
11264,3518.54345703125,1400.448210173985,5250.698856205912,2,3,Model_1
11265,4447.75390625,1402.4259827110218,5269.4097879555775,1,0,Model_1
11282,3944.55126953125,2708.0384947295533,5307.720494901063,1,0,Model_1
11321,6590.80810546875,4092.177529727109,5074.822315423866,2,2,Model_1
11322,10348.71484375,4108.830130518414,5106.107061138377,64,7,Model_1
11323,3642.33984375,4067.8849683173466,5105.374365865195,38,1,Model_1
11324,3750.97900390625,3990.201985004125,5105.039459829044,37,3,Model_1
11325,4591.23681640625,3975.4744499057997,5114.853478483332,7,0,Model_1
11326,3800.298828125,4007.062190919183,5113.983711963287,12,2,Model_1
11327,7021.9580078125,3898.603934538085,5141.048924243427,61,4,Model_1
11328,12404.453125,3896.0482280035503,5208.052034610941,1,6,Model_1
11329,6199.40185546875,3978.8927994600963,5310.425179091748,4,41,Model_1
11330,1813.7314453125,4070.0981954459567,5314.457476029114,0,9,Model_1
11331,5885.99609375,4125.143934478052,5068.772810188588,1,0,Model_1
11332,4954.7265625,4229.597391354386,5090.584802260331,1,2,Model_1
11334,37616.80078125,4148.365787422517,5159.041998329107,5,1,Model_1
11335,4231.99072265625,4191.800830143271,5137.567738504789,16,1,Model_1
11336,3479.5439453125,4240.229443556862,5139.364502323209,43,1,Model_1
11337,8640.0126953125,4209.757982865209,5156.565530698921,79,3,Model_1
11338,2741.33740234375,4239.079559745034,5168.549373059999,47,1,Model_1
11339,4442.7109375,4249.828073358396,5182.431016292598,35,0,Model_1
11340,4339.7421875,4377.424207832664,5202.906210431014,6,0,Model_1
11341,5957.20849609375,4307.840586276492,5216.982862241624,39,2,Model_1
11342,8915.5556640625,4383.69379050564,5232.931879022275,35,0,Model_1
11343,3967.8935546875,4293.044002910843,5250.551186666766,3,1,Model_1
11344,5328.216796875,4313.59829112771,5253.122332374682,25,0,Model_1
11345,3048.92236328125,4352.038842512062,5252.181910572748,42,2,Model_1
11346,4930.15625,4383.403787782881,5263.525616079918,22,0,Model_1
11347,4484.9619140625,4360.484366249293,5267.681559760589,50,1,Model_1
11348,7602.708984375,4339.537423552247,5275.791373015731,33,1,Model_1
11349,7424.89697265625,4190.820344747277,5279.164456173079,1,1,Model_1
11350,7605.64599609375,4368.9460012489,5287.546292263491,81,0,Model_1
11351,4356.65478515625,4177.772984153824,5304.596118335961,0,9,Model_1
11353,2631.57080078125,4391.776580678532,5206.235487313592,1,0,Model_1
11354,2221.196533203125,4418.372131964425,5290.351306954457,2,0,Model_1
11355,7938.93701171875,4402.572047113674,5309.442364120681,57,1,Model_1
11356,2630.656494140625,4423.900136246346,5306.2409732983215,1,0,Model_1
11357,3547.781982421875,4456.444425923051,5312.008563958865,3,0,Model_1
11359,5241.3984375,5414.435277388431,5275.767350219889,38,0,Model_1
11360,2173.775390625,5380.9744870434515,5273.4025179350865,16,0,Model_1
11361,2749.449462890625,5395.061714542797,5279.264080120542,45,1,Model_1
11362,5730.95068359375,5438.64175862493,5279.408216895594,56,1,Model_1
11363,4608.2060546875,5510.183589042397,5285.260593894403,30,2,Model_1
11364,4205.703125,5329.767371352762,5287.3293805480935,15,1,Model_1
11365,3290.68505859375,5363.651197415544,5289.208811046323,62,0,Model_1
11366,3734.714599609375,5445.066469738493,5295.307774978923,13,0,Model_1
11367,3482.912109375,5316.137703704881,5298.876573267102,21,0,Model_1
11368,4236.89404296875,5419.32895825454,5302.371890062117,40,2,Model_1
11369,1783.6162109375,5458.501881594304,5302.150739029807,18,0,Model_1
11370,2746.62646484375,5375.016081895214,5305.6057823141455,77,0,Model_1
11371,1921.2684326171875,5467.716142707737,5307.794682947046,10,0,Model_1
11372,2897.0234375,5491.86370275612,5311.740780440508,20,0,Model_1
11373,3271.07861328125,5327.660938877612,5311.148689178284,16,0,Model_1
11374,2406.4580078125,5503.852323250612,5313.65059270995,7,1,Model_1
11375,2139.95263671875,5389.634060409386,5310.916233300872,31,1,Model_1
11376,2739.469970703125,5448.17548305518,5314.330296521715,48,0,Model_1
11377,3362.93115234375,5534.932329338277,5289.105654334766,10,0,Model_1
11378,1924.3201904296875,5558.681711045094,5298.6179749353905,9,0,Model_1
11379,3775.105224609375,5573.975902257254,5305.952699748217,31,0,Model_1
11380,3368.660888671875,5547.8848636446055,5309.457908282697,10,1,Model_1
11381,3308.563720703125,5589.65538280108,5314.7224333361955,21,0,Model_1
11397,6622.63623046875,1176.9526634207577,5354.915396991186,3,12,Model_1
11398,6371.89453125,1207.7891592856613,5453.89920759981,6,0,Model_1
11399,4835.2763671875,1181.8308084267192,5454.668643619574,13,1,Model_1
11400,10347.65234375,1230.7382715741987,5474.360977234668,9,0,Model_1
11401,6917.4267578125,1202.1251299171126,5481.97055109404,8,1,Model_1
11402,5135.02001953125,1298.0789752468118,5484.756488858897,3,1,Model_1
11403,5388.41650390625,1184.8087451159372,5503.877221243514,21,0,Model_1
11404,2229.900390625,1064.0390675906092,5502.806793722906,1,3,Model_1
11405,5853.92822265625,1156.5052849377971,5518.524767731782,14,0,Model_1
11406,7939.935546875,1239.2103788943496,5520.0770642748685,11,5,Model_1
11407,7543.7119140625,1209.5478186543914,5518.409599622304,16,1,Model_1
11408,4848.51416015625,1132.6642991963308,5521.494409229548,15,0,Model_1
11409,5812.384765625,1269.9063615352497,5528.3345470691565,2,12,Model_1
11410,6645.27783203125,1253.9124812142109,5545.486823300365,13,0,Model_1
11411,10373.150390625,1219.5504959002137,5547.650288031786,6,3,Model_1
11412,6162.0791015625,1299.302395463339,5548.239553082734,6,10,Model_1
11413,12601.3515625,1278.6354434902896,5566.767487652309,12,19,Model_1
11414,7545.40478515625,1196.0454299792764,5567.625242774433,9,0,Model_1
11415,4231.30078125,1113.770851969486,5572.5343717600335,8,1,Model_1
11416,4937.43017578125,1228.3677294765366,5576.967284145707,7,0,Model_1
11417,3994.894287109375,1152.6090062931762,5581.297039819823,9,1,Model_1
11418,3312.713623046875,1133.352825501992,5587.8891776200035,26,1,Model_1
11419,6500.89013671875,1213.3516877012444,5592.156756646058,5,2,Model_1
11420,4518.37451171875,1189.1477382345474,5590.326078292332,7,0,Model_1
11421,3565.56689453125,1119.7268404283677,5593.5818736817455,12,0,Model_1
11422,11399.654296875,1455.0169407593203,5415.241583220253,0,3,Model_1
11423,5066.0869140625,1554.3794688858907,5441.538066033449,1,1,Model_1
11424,22585.822265625,1399.3261758299777,5473.494743478717,16,34,Model_1
11425,13812.9794921875,1439.9839821585338,5459.332598777022,7,12,Model_1
11426,39936.80078125,1355.1352847429225,5486.717172931298,19,49,Model_1
11427,17191.541015625,1498.2862676384975,5479.654470953741,2,17,Model_1
11428,7618.69140625,1423.343234653119,5496.685220100102,5,6,Model_1
11429,20191.71484375,1319.758174818824,5521.59473972983,12,20,Model_1
11430,13484.85546875,1348.9838896875153,5555.874562843586,6,9,Model_1
11431,11817.2900390625,1381.4715597850154,5562.347293217375,3,12,Model_1
11432,3181.786376953125,1425.1592040837277,5555.833582780091,2,7,Model_1
11433,9695.4833984375,1437.8155213232385,5578.035592007858,2,7,Model_1
11434,3981.771240234375,1668.42971427663,5484.371417572605,2,4,Model_1
